NO,SMILES,Flatten SMILES,IC50 (nM),pIC50,target (10 nM),trtecv (10 nM),target (31.6 nM),trtecv (31.6 nM),target (100 nM),trtecv (100 nM)
1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2C(=O)N(C)c2ccccc2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCCC2C(=O)N(C)c2ccccc2)n1,72,7.143,0,test,0,train3,1,train5
2,Cc1cccc(N(C(=O)[C@@H]2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)C(C)C)c1,Cc1cccc(N(C(=O)C2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)C(C)C)c1,8.9,8.051,1,train2,1,test,1,train4
3,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,Cc1cccc(N(C)C(=O)C2CC(O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,20,7.699,0,train4,1,train1,1,train5
4,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(F)c2)n1,Cc1cc(C)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2ccc(F)c(F)c2)n1,288,6.541,0,test,0,train2,0,train2
5,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,16,7.796,0,train1,1,train5,1,train2
6,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(C)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2ccc(F)c(C)c2)n1,11,7.959,0,train3,1,test,1,train3
7,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccccc2)n1,Cc1cc(C)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2ccccc2)n1,438,6.359,0,test,0,test,0,train1
8,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccccc2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2ccccc2)n1,180,6.745,0,train2,0,train1,0,test
9,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nc(C)cc(C)c2C#N)c1,Cc1cccc(N(C)C(=O)C2CC(O)CN2c2nc(C)cc(C)c2C#N)c1,87,7.06,0,train3,0,train2,1,test
10,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(C(F)(F)F)c2)n1,Cc1cc(C)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2ccc(F)c(C(F)(F)F)c2)n1,316,6.5,0,train5,0,train5,0,train4
11,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(CF)c2)n1,Cc1cc(C)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2cccc(CF)c2)n1,452,6.345,0,train1,0,train3,0,train4
12,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(C(F)F)c2)n1,Cc1cc(C)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2cccc(C(F)F)c2)n1,710,6.149,0,test,0,train3,0,train1
13,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(Cl)c2)n1,Cc1cc(C)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2cccc(Cl)c2)n1,180,6.745,0,train5,0,test,0,train1
14,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(CF)c2)n1,Cc1cc(C)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2ccc(F)c(CF)c2)n1,415,6.382,0,train1,0,train5,0,train2
15,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(CF)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2ccc(F)c(CF)c2)n1,57,7.244,0,test,0,train4,1,train1
16,COc1cc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)ccc1F,COc1cc(N(C)C(=O)C2CC(O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)ccc1F,274,6.562,0,train3,0,train2,0,train1
17,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cc(F)cc(F)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2cc(F)cc(F)c2)n1,97,7.013,0,train4,0,test,1,test
18,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(Cl)c(F)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2ccc(Cl)c(F)c2)n1,33,7.481,0,train1,0,train4,1,train5
19,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(C(F)(F)F)c(F)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2ccc(C(F)(F)F)c(F)c2)n1,524,6.281,0,train2,0,train2,0,train1
