NO,SMILES,IC50 (nM),target,trtecv
1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2C(=O)N(C)c2ccccc2)n1,72,0,test
2,Cc1cccc(N(C(=O)[C@@H]2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)C(C)C)c1,8.9,1,train3
3,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,20,1,train4
4,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(F)c2)n1,288,0,train3
5,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,16,1,train1
6,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(C)c2)n1,11,1,train2
7,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccccc2)n1,438,0,train2
8,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccccc2)n1,180,0,train1
9,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nc(C)cc(C)c2C#N)c1,87,0,train3
10,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(C(F)(F)F)c2)n1,316,0,train5
11,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(CF)c2)n1,452,0,test
12,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(C(F)F)c2)n1,710,0,train4
13,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(Cl)c2)n1,180,0,train1
14,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(CF)c2)n1,415,0,train1
15,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(CF)c2)n1,57,0,train5
16,COc1cc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)ccc1F,274,0,train4
17,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cc(F)cc(F)c2)n1,97,0,test
18,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(Cl)c(F)c2)n1,33,0,train3
19,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(C(F)(F)F)c(F)c2)n1,524,0,test
20,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cc(F)c(F)cc2F)n1,67,0,train2
21,CCN(C(=O)[C@@H]1C[C@H](O)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,77,0,train1
22,CCN(C(=O)[C@@H]1C[C@H](O)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(C)c1,27,1,train2
23,Cc1cccc(N(C)C(=O)[C@@H]2C[C@@H](O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,138.5,0,test
24,Cc1cccc(N(C)C(=O)[C@@H]2[C@H](O)CCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,8.55,1,train5
25,Cc1cccc(N(C)C(=O)[C@@H]2[C@H](O)CCN2c2nc(C)cc(C)c2C#N)c1,32,0,train3
26,Cc1cccc(N(C)C(=O)[C@@H]2[C@@H](O)CCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,61,0,train2
27,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2cc(C(F)(F)F)cc(C)n2)c1,12,1,train3
28,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2cc(C(C)C)cc(C)n2)c1,48,0,train4
29,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2cc(C)c(Cl)c(C)n2)c1,172,0,train1
30,COc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(C)c2)n1,514,0,train2
31,CCN(C)c1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(C)c2)n1,395,0,train4
32,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nc(N(C)C)cc(C(F)(F)F)c2C#N)c1,209,0,train2
33,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nc(C)cc(C(C)C)c2C#N)c1,30,1,test
34,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nccc(C(F)(F)F)c2C#N)c1,969,0,test
35,CCc1cc(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(C)c2)ncc1C,620,0,train1
36,CO[C@H]1C[C@@H](C(=O)N(C)c2cccc(C)c2)N(c2nc(C)cc(C(F)(F)F)c2C#N)C1,48,0,train4
37,CCN(C(=O)[C@@H]1C[C@H](F)CN1c1nc(C)cc(C)c1C#N)c1ccc(F)c(F)c1,248,0,train3
38,CCN(C(=O)[C@@H]1C[C@H](N)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,273,0,train5
