NO,Frag,Conect,MolWt
1,[4*]CC,1,29.039
2,[7*]CC,1,29.039
3,[8*]CC,1,29.039
4,[5*]NC,1,30.034
5,[8*]CN,1,30.034
6,[3*]OC,1,31.018
7,[8*]CO,1,31.018
8,[3*]OO,1,32.998
9,[8*]CF,1,33.014
10,[4*]CC#C,1,39.023
11,[4*]CC#N,1,40.019
12,[7*]CC#N,1,40.019
13,[8*]CC#N,1,40.019
14,[15*]C1CC1,1,41.039
15,[4*]CC=C,1,41.039
16,[7*]CC=C,1,41.039
17,[8*]CC=C,1,41.039
18,[5*]N1CC1,1,42.034
19,[1*]C(C)=O,1,43.018
20,[13*]C1CO1,1,43.018
21,[13*][C@@H]1CO1,1,43.018
22,[13*][C@H]1CO1,1,43.018
23,[6*]C(C)=O,1,43.018
24,[4*]C(C)C,1,43.055
25,[4*]CCC,1,43.055
26,[7*]C(C)C,1,43.055
27,[7*]CCC,1,43.055
28,[8*]C(C)C,1,43.055
29,[8*]CCC,1,43.055
30,[6*]C(=O)[O-],1,43.99
31,[1*]C(N)=O,1,44.014
32,[5*]NC=O,1,44.014
33,[6*]C(N)=O,1,44.014
34,[4*]CCN,1,44.05
35,[5*]N(C)C,1,44.05
36,[5*]NCC,1,44.05
37,[8*]C(C)N,1,44.05
38,[8*]CCN,1,44.05
39,[8*]CNC,1,44.05
40,[8*][C@@H](C)N,1,44.05
41,[3*]OC=O,1,44.998
42,[6*]C(=O)O,1,44.998
43,[3*]OCC,1,45.034
44,[4*]CCO,1,45.034
45,[7*]C(C)O,1,45.034
46,[7*]CCO,1,45.034
47,[8*]C(C)O,1,45.034
48,[8*]CCO,1,45.034
49,[8*]COC,1,45.034
50,[8*][C@@H](C)O,1,45.034
51,[8*][C@H](C)O,1,45.034
52,[3*]ON=O,1,45.993
53,[11*]SC,1,46.996
54,[4*]CCF,1,47.03
55,[8*][C@@H](C)F,1,47.03
56,[8*]CCl,1,48.985
57,[3*]OCF,1,49.009
58,[8*]C(F)F,1,51.005
59,[4*]CCC#N,1,54.034
60,[1*]C(=O)C=C,1,55.018
61,[3*]OCC#C,1,55.018
62,[5*]NCC#N,1,55.03
63,[15*]C1CCC1,1,55.055
64,[4*]CC1CC1,1,55.055
65,[13*][C@H]1CCN1,1,56.05
66,[15*]C1(N)CC1,1,56.05
67,[15*][C@@H]1C[C@H]1N,1,56.05
68,[5*]N1CCC1,1,56.05
69,[5*]NC1CC1,1,56.05
70,[5*]NCC=C,1,56.05
71,[1*]C(=O)CC,1,57.034
72,[13*][C@@H]1CCO1,1,57.034
73,[13*][C@@]1(C)CO1,1,57.034
74,[15*]C1COC1,1,57.034
75,[3*]OCC=C,1,57.034
76,[4*]CC1CO1,1,57.034
77,[6*]C(=O)CC,1,57.034
78,[5*]NC(C)=N,1,57.045
79,[4*]C(C)(C)C,1,57.07
80,[4*]C(C)CC,1,57.07
81,[4*]CC(C)C,1,57.07
82,[4*]CCCC,1,57.07
83,[4*][C@@H](C)CC,1,57.07
84,[4*][C@H](C)CC,1,57.07
85,[7*]CC(C)C,1,57.07
86,[8*]C(C)(C)C,1,57.07
87,[8*]C(C)CC,1,57.07
88,[8*]CC(C)C,1,57.07
89,[8*]CCCC,1,57.07
90,[8*][C@@H](C)CC,1,57.07
91,[4*]CC(=O)[O-],1,58.006
92,[8*]CC(=O)[O-],1,58.006
93,[1*]C(=O)CN,1,58.029
94,[1*]C(=O)NC,1,58.029
95,[4*]CC(N)=O,1,58.029
96,[5*]NC(C)=O,1,58.029
97,[6*]C(=O)NC,1,58.029
98,[8*]CC(N)=O,1,58.029
99,[5*]NC(=N)N,1,58.041
100,[4*]CC(C)N,1,58.066
101,[4*]CCCN,1,58.066
102,[4*]CCNC,1,58.066
103,[4*]C[C@@H](C)N,1,58.066
104,[5*]N(C)CC,1,58.066
105,[5*]NC(C)C,1,58.066
106,[5*]NCCC,1,58.066
107,[8*]CC(C)N,1,58.066
108,[8*]CCCN,1,58.066
109,[8*]CCNC,1,58.066
110,[8*]CN(C)C,1,58.066
111,[8*]CNCC,1,58.066
112,[8*]C[C@H](C)N,1,58.066
113,[1*]C(=O)CO,1,59.013
114,[1*]C(=O)OC,1,59.013
115,[3*]OC(C)=O,1,59.013
116,[4*]CC(=O)O,1,59.013
117,[6*]C(=O)OC,1,59.013
118,[7*]CC(=O)O,1,59.013
119,[8*]CC(=O)O,1,59.013
120,[5*]NC(N)=O,1,59.025
121,[6*]C(=O)NN,1,59.025
122,[15*][C@@H]1C[C@@H]1F,1,59.03
123,[3*]OC(C)C,1,59.05
124,[3*]OCCC,1,59.05
125,[4*]CCCO,1,59.05
126,[4*]CCOC,1,59.05
127,[4*]C[C@@H](C)O,1,59.05
128,[4*][C@@H](C)CO,1,59.05
129,[8*]C(C)(C)O,1,59.05
130,[8*]CC(C)O,1,59.05
131,[8*]CCCO,1,59.05
132,[8*]CCOC,1,59.05
133,[8*]COCC,1,59.05
134,[5*]NCCN,1,59.061
135,[8*]C(C)NN,1,59.061
136,[8*]CCNN,1,59.061
137,[8*]CNNC,1,59.061
138,[5*][N+](C)(C)C,1,59.073
139,[3*]OC(N)=O,1,60.009
140,[6*]C(=O)NO,1,60.009
141,[3*]OCCN,1,60.045
142,[5*]NCCO,1,60.045
143,[8*][C@@H](O)CN,1,60.045
144,[11*]SCC,1,61.011
145,[4*]CCS,1,61.011
146,[8*]CSC,1,61.011
147,[3*]OCCO,1,61.029
148,[4*]CCCF,1,61.045
149,[8*]C(C)(C)F,1,61.045
150,[8*]CCCF,1,61.045
151,[3*]O[N+](=O)[O-],1,61.988
152,[7*]C(F)CN,1,62.041
153,[4*]CCCl,1,63
154,[8*]CCCl,1,63
155,[3*]OCCF,1,63.025
156,[8*]C(C)(F)F,1,65.02
157,[14*]c1ccc[nH]1,1,66.034
158,[15*]C1(C#N)CC1,1,66.034
159,[4*]C1(C#N)CC1,1,66.034
160,[9*]n1cccc1,1,66.034
161,[3*]OC(F)F,1,67
162,[1*]C(=O)C#CC,1,67.018
163,[14*]c1ccco1,1,67.018
164,[16*]c1ccoc1,1,67.018
165,[14*]c1c[nH]cn1,1,67.03
166,[14*]c1cc[nH]n1,1,67.03
167,[14*]c1ccn[nH]1,1,67.03
168,[14*]c1cnc[nH]1,1,67.03
169,[14*]c1ncc[nH]1,1,67.03
170,[16*]c1cn[nH]c1,1,67.03
171,[9*]n1cccn1,1,67.03
172,[9*]n1ccnc1,1,67.03
173,[15*]C12CC(C1)C2,1,67.055
174,[1*]C(=O)CC#N,1,68.014
175,[14*]c1ccon1,1,68.014
176,[14*]c1cnco1,1,68.014
177,[14*]c1ncco1,1,68.014
178,[14*]c1c[nH]nn1,1,68.025
179,[14*]c1cnn[nH]1,1,68.025
180,[14*]c1nc[nH]n1,1,68.025
181,[14*]c1nnc[nH]1,1,68.025
182,[9*]n1ccnn1,1,68.025
183,[9*]n1cncn1,1,68.025
184,[9*]n1nccn1,1,68.025
185,[4*]CCCC#N,1,68.05
186,[5*]N(C)CC#C,1,68.05
187,[5*]N1CC=CC1,1,68.05
188,[8*]C(C)(C)C#N,1,68.05
189,[8*]C(F)(F)F,1,68.995
190,[14*]c1ncon1,1,69.009
191,[14*]c1nnco1,1,69.009
192,[14*]c1nn[nH]n1,1,69.02
193,[14*]c1nnn[nH]1,1,69.02
194,[9*]n1cnnn1,1,69.02
195,[9*]n1ncnn1,1,69.02
196,[1*]C(=O)/C=C/C,1,69.034
197,[1*]C(=O)C1CC1,1,69.034
198,[4*]CC#CCO,1,69.034
199,[6*]C(=O)C1CC1,1,69.034
200,[5*]NCCC#N,1,69.045
201,[15*]C1CCCC1,1,69.07
202,[15*][C@H]1CC1(C)C,1,69.07
203,[4*]CC1CCC1,1,69.07
204,[4*]CC=C(C)C,1,69.07
205,[8*]CC=C(C)C,1,69.07
206,[8*][C@@H](C)C1CC1,1,69.07
207,[8*][C@H](C)C1CC1,1,69.07
208,[5*]NC(=O)C=C,1,70.029
209,[13*]C1CCCN1,1,70.066
210,[13*][C@@H]1CCCN1,1,70.066
211,[15*]C1(N)CCC1,1,70.066
212,[15*][C@H]1CCNC1,1,70.066
213,[4*]CC1(N)CC1,1,70.066
214,[4*]C[C@H]1CCN1,1,70.066
215,[5*]N1CCCC1,1,70.066
216,[5*]NCC1CC1,1,70.066
217,[1*]C(=O)C(C)=O,1,71.013
218,[1*]C(=O)C(C)C,1,71.05
219,[1*]C(=O)CCC,1,71.05
220,[13*]C1CCCO1,1,71.05
221,[15*]C1(C)COC1,1,71.05
222,[15*][C@@H]1CCOC1,1,71.05
223,[15*][C@H]1CCOC1,1,71.05
224,[3*]OCC1CC1,1,71.05
225,[6*]C(=O)C(C)C,1,71.05
226,[8*]CCC(C)=O,1,71.05
227,[8*]C[C@@H]1CCO1,1,71.05
228,[4*]C(CC)CC,1,71.086
229,[4*]CC(C)(C)C,1,71.086
230,[4*]CCC(C)C,1,71.086
231,[4*]CCCCC,1,71.086
232,[8*]C(C)(C)CC,1,71.086
233,[8*]C(C)CCC,1,71.086
234,[8*]C(CC)CC,1,71.086
235,[8*]CC(C)(C)C,1,71.086
236,[8*]CCC(C)C,1,71.086
237,[8*]CCCCC,1,71.086
238,[8*][C@H](C)C(C)C,1,71.086
239,[6*]C(=O)C(N)=O,1,72.009
240,[1*]C(=O)C(C)N,1,72.045
241,[1*]C(=O)CCN,1,72.045
242,[1*]C(=O)CNC,1,72.045
243,[1*]C(=O)N(C)C,1,72.045
244,[1*]C(=O)NCC,1,72.045
245,[1*]C(=O)[C@H](C)N,1,72.045
246,[15*]C1(N)COC1,1,72.045
247,[4*]CC(=O)NC,1,72.045
248,[4*][C@@H](C)C(N)=O,1,72.045
249,[5*]N(C)C(C)=O,1,72.045
250,[5*]N1CC(O)C1,1,72.045
251,[5*]NC(=O)CC,1,72.045
252,[6*]C(=O)N(C)C,1,72.045
253,[6*]C(=O)NCC,1,72.045
254,[8*]CC(=O)NC,1,72.045
255,[8*]CNC(C)=O,1,72.045
256,[5*]N(C)C(=N)N,1,72.056
257,[5*]NC(=N)NC,1,72.056
258,[8*]CNC(=N)N,1,72.056
259,[4*]CC(C)(C)N,1,72.081
260,[4*]CCCCN,1,72.081
261,[4*]CCCNC,1,72.081
262,[4*]CCN(C)C,1,72.081
263,[5*]N(C)C(C)C,1,72.081
264,[5*]N(CC)CC,1,72.081
265,[5*]NC(C)(C)C,1,72.081
266,[5*]NCC(C)C,1,72.081
267,[5*]NCCCC,1,72.081
268,[5*]N[C@H](C)CC,1,72.081
269,[7*]CCCNC,1,72.081
270,[7*]CCN(C)C,1,72.081
271,[8*]CC(C)(C)N,1,72.081
272,[8*]CC(C)NC,1,72.081
273,[8*]CCN(C)C,1,72.081
274,[8*]CCNCC,1,72.081
275,[8*]CNC(C)C,1,72.081
276,[8*]C[C@H](C)NC,1,72.081
277,[8*][C@H](C)N(C)C,1,72.081
278,[1*]C(=O)C(=O)O,1,72.993
279,[6*]C(=O)C(=O)O,1,72.993
280,[1*]C(=O)C(=C)F,1,73.009
281,[1*]C(=O)CCO,1,73.029
282,[1*]C(=O)COC,1,73.029
283,[1*]C(=O)OCC,1,73.029
284,[1*]C(=O)[C@H](C)O,1,73.029
285,[3*]OC(=O)CC,1,73.029
286,[3*]OCC1CO1,1,73.029
287,[4*]CC(=O)OC,1,73.029
288,[4*]CCC(=O)O,1,73.029
289,[4*][C@@H](C)C(=O)O,1,73.029
290,[4*][C@H](C)C(=O)O,1,73.029
291,[6*]C(=O)OCC,1,73.029
292,[7*]C(C)C(=O)O,1,73.029
293,[7*]CC(=O)OC,1,73.029
294,[8*]C(C)C(=O)O,1,73.029
295,[8*]CC(=O)OC,1,73.029
296,[8*]CCC(=O)O,1,73.029
297,[8*][C@@H](C)C(=O)O,1,73.029
298,[8*][C@H](C)C(=O)O,1,73.029
299,[5*]NC(=O)CN,1,73.04
300,[3*]OC(C)(C)C,1,73.065
301,[3*]OCC(C)C,1,73.065
302,[3*]OCCCC,1,73.065
303,[3*]O[C@@H](C)CC,1,73.065
304,[4*]CC(C)(C)O,1,73.065
305,[4*]CCCOC,1,73.065
306,[4*]CCOCC,1,73.065
